food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,meal_type,dietary_category,veg_category
Original Chicken Sandwich Chick Fil A,125,5.1,11.6,7.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,snack,low-carb,non-veg
Sausage Mcmuffin Mcdonalds,383,24.2,8.3,8.9,3.7,28.2,2.2,14.6,1.6,44.9,0.8,44.8,0.0,0.4,0.008,0.03,0.3,4.8,0.6,0.2,0.0,0.0,0.3,0.0,257.6,0.1,2.3,24.2,0.3,187.5,216.2,0.0,1.5,328.5,snack,low-carb,veg
Sausage Mcgriddles Mcdonalds,421,24.0,7.3,10.2,3.5,42.2,15.2,11.4,1.4,32.4,1.0,54.1,0.0,0.3,0.037,0.038,0.2,4.2,0.5,0.1,0.0,0.0,0.0,0.0,85.1,0.1,1.9,18.9,0.3,426.6,195.8,0.0,1.0,166.0,snack,low-carb,veg
Crispy Chicken Drumstick Kentucky Fried Chicken,70,3.0,0.8,1.2,0.8,0.0,0.0,10.6,0.0,56.2,0.2,26.6,0.025,0.08,0.0,0.08,0.1,2.2,0.5,0.1,0.0,0.0,0.0,0.0,6.6,0.098,0.4,9.4,0.091,91.8,111.9,0.015,1.0,20.632,snack,low-carb,non-veg
Chicken Crispy Drumsticks Kentucky Fried Chicken,156,10.1,2.2,3.4,3.6,4.5,0.0,11.8,0.0,62.1,0.4,29.3,0.071,0.045,0.0,0.028,0.1,2.6,0.6,0.1,0.0,0.0,0.0,0.0,14.3,0.2,0.5,12.0,0.06,112.9,135.1,0.064,1.0,41.248,snack,keto,non-veg
Biscuit Kentucky Fried Chicken,185,9.1,2.2,6.1,0.6,22.1,1.7,3.8,0.8,0.5,0.5,15.1,0.0,0.2,0.0,0.074,0.1,1.7,0.2,0.035,0.0,0.0,0.7,0.071,31.2,0.009,1.5,7.8,0.2,304.7,59.8,0.076,0.3,68.5,snack,low-carb,non-veg
English Muffin Mcdonalds,97,2.3,1.1,15.4,1.1,2.9,1.5,5.7,0.2,20.7,0.031,0.0,0.3,0.004,0.0,0.2,2.7,0.3,0.036,0.0,0.0,0.3,0.0,166.4,0.08,1.8,13.1,0.3,68.4,73.0,0.0,0.5,0.0,24.548,snack,low-carb,veg
French Fries Mcdonalds,378,18.1,2.7,8.6,5.5,49.8,0.2,4.0,4.6,0.0,0.2,42.9,0.052,0.0,0.2,0.0,0.0,0.037,3.8,0.7,0.4,6.6,0.0,1.6,0.003,22.2,0.1,0.9,43.3,0.3,148.6,697.3,0.07,77.129,snack,low-carb,veg
Hotdog,383,23.0,8.1,10.8,2.7,28.5,0.0,16.4,0.0,69.8,1.1,83.6,0.0,0.4,0.096,0.043,0.4,5.8,0.8,0.094,0.2,0.0,0.0,0.0,37.2,0.1,3.7,20.2,0.1,153.5,226.3,0.09,3.1,109.0,lunch,low-carb,veg
French Fries Burger King,207,9.2,1.6,2.4,4.4,28.6,0.4,2.4,2.1,0.0,0.2,32.5,0.085,0.0,0.1,0.0,0.0,0.026,1.6,0.4,0.2,1.6,0.0,1.8,0.083,12.6,0.005,0.5,20.0,0.2,88.1,345.6,0.0,42.635,snack,low-carb,veg
Original Taco With Beef Cheese Lettuce Taco Bell,158,8.8,3.0,3.0,2.1,13.7,0.6,6.1,2.7,19.3,0.3,39.3,0.0,0.056,0.056,0.052,0.065,1.1,0.0,0.086,0.3,0.0,0.4,0.068,61.4,0.094,0.8,22.1,0.2,122.8,144.2,0.021,1.2,93.8,snack,low-carb,non-veg
Hotdog With Chili,296,13.4,4.9,6.6,1.2,31.3,0.0,13.5,0.0,51.3,0.5,54.5,0.0,0.2,0.031,0.017,0.4,3.7,0.5,0.003,2.7,0.0,0.0,0.0,19.4,0.1,3.3,10.3,0.1,191.5,166.4,0.038,0.8,83.6,breakfast,low-carb,veg
Chicken Crispy Wings Kentucky Fried Chicken,148,10.1,2.1,3.3,3.8,5.1,0.0,9.2,0.0,47.1,0.3,18.4,0.033,0.029,0.0,0.051,0.033,2.4,0.5,0.1,0.0,0.0,0.0,0.0,15.4,0.2,0.3,9.7,0.015,84.5,98.1,0.003,0.5,40.161,snack,keto,non-veg
Egg White Delight Mcdonalds,250,16.0,4.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,snack,keto,non-veg
French Toast Sticks Burger King,73,3.7,0.8,2.0,0.5,8.7,2.1,1.3,0.3,0.0,0.014,7.0,0.0,0.066,0.0,0.0,0.039,0.5,0.072,0.037,0.0,0.0,0.2,0.009,11.1,0.036,0.4,4.0,0.068,18.3,23.3,0.049,0.1,25.5,snack,low-carb,veg
Mcchicken Mcdonalds,358,17.3,3.1,5.8,6.5,36.6,4.7,13.7,1.7,35.4,0.8,60.4,0.1,0.0,0.3,0.0,0.034,0.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0,115.3,0.1,2.3,26.2,0.5,182.1,226.6,0.0,69.5,snack,low-carb,non-veg
Nachos Supreme Taco Bell,480,26.6,7.8,13.7,2.8,45.0,0.0,14.8,8.0,37.1,0.8,104.9,0.0,0.2,0.031,0.044,0.3,1.9,0.5,0.3,0.0,0.0,1.4,0.074,142.4,0.2,4.2,89.7,0.5,384.2,471.9,0.055,2.7,241.0,snack,low-carb,veg
Crispy Chicken Wing Kentucky Fried Chicken,104,5.3,1.1,1.7,1.8,1.3,0.0,12.6,0.0,64.2,0.3,23.7,0.019,0.029,0.0,0.023,0.032,3.1,0.5,0.2,0.0,0.0,0.0,0.0,13.2,0.006,0.4,11.0,0.085,99.4,116.6,0.033,0.8,32.851,snack,low-carb,non-veg
Chicken Strips Burger King,105,5.5,1.0,1.5,2.7,7.4,0.0,6.6,0.5,15.8,0.3,15.5,0.055,0.076,0.08,0.02,0.065,0.046,2.9,0.2,0.1,0.4,0.0,1.4,0.046,4.7,0.005,0.2,9.7,0.036,104.8,113.4,0.07,20.168,snack,low-carb,non-veg
Crispy Chicken Breast Kentucky Fried Chicken,214,6.7,1.7,2.4,2.3,0.4,0.0,38.2,0.0,121.8,0.7,92.0,0.061,0.049,0.0,0.055,0.2,15.3,2.3,0.6,0.0,0.0,0.0,0.0,28.0,0.008,0.7,39.2,0.092,354.2,432.6,0.042,1.2,74.065,snack,low-carb,non-veg
Sausage Biscuit Mcdonalds,440,29.7,12.5,10.3,4.0,31.8,2.3,11.3,1.4,33.9,1.0,40.6,0.049,0.5,0.1,0.029,0.3,5.0,0.6,0.1,0.0,0.0,0.9,0.0,64.4,0.031,2.4,15.2,0.2,377.9,207.1,0.0,1.0,141.05,snack,low-carb,veg
Sausage Burrito Mcdonalds,339,17.1,6.1,6.5,2.4,24.2,1.4,13.0,1.2,172.9,0.8,55.8,0.004,0.2,0.045,0.036,0.3,1.9,0.9,0.4,0.9,0.0,0.2,0.0,203.4,0.005,1.8,19.2,0.2,247.5,154.8,0.0,1.3,261.627,snack,low-carb,veg
Onion Rings Fried,27,1.6,0.3,0.4,0.8,2.8,0.4,0.3,0.2,0.0,0.015,1.6,0.0,0.045,0.0,0.0,0.07,0.001,0.076,0.076,0.055,0.0,0.3,0.0,7.5,0.075,0.038,1.2,0.021,10.3,10.9,0.011,0.007,12.551,snack,low-carb,veg
Onion Rings Burger King,379,23.0,3.8,6.3,11.1,39.7,4.9,3.5,2.5,0.0,0.7,22.3,0.0,0.1,0.0,0.0,0.063,0.6,0.3,0.1,1.3,0.0,4.5,0.0,104.7,0.012,0.7,17.3,0.3,143.8,152.0,0.023,0.5,175.4,snack,low-carb,veg
Turkey Patty Fried,79,5.0,1.3,2.1,1.3,4.4,0.053,3.9,0.1,21.0,0.2,13.9,0.088,0.096,0.083,0.054,0.032,0.6,0.1,0.069,0.0,0.078,0.3,0.074,3.9,0.027,0.6,4.2,0.049,75.6,77.0,0.054,0.4,17.934,snack,low-carb,non-veg
Hotcakes With Syrup Mcdonalds,601,17.8,1.8,1.9,4.6,101.8,45.5,9.0,2.0,19.9,0.6,89.7,0.0,0.4,0.1,0.0,0.4,3.2,1.1,0.1,0.0,0.0,0.0,0.0,126.0,0.1,2.8,28.7,0.4,391.2,276.3,0.0,0.6,259.4,snack,regular,veg
Crispy Chicken Thigh Kentucky Fried Chicken,163,9.1,2.5,3.8,2.1,0.0,0.0,20.4,0.0,107.4,0.5,59.8,0.078,0.043,0.0,0.057,0.2,4.8,1.2,0.3,0.0,0.0,0.0,0.0,19.1,0.037,0.9,20.0,0.095,202.9,246.6,0.04,1.7,49.591,snack,low-carb,non-veg
Corn Dog,195,9.4,2.7,3.7,2.6,21.0,5.9,6.7,0.8,34.3,0.5,39.2,0.1,0.028,0.1,0.014,0.023,0.1,2.2,0.6,0.059,0.4,0.044,0.5,0.086,56.2,0.1,1.5,13.3,0.029,174.7,97.5,0.012,38.257,breakfast,low-carb,veg
Chicken Box Mcdonalds,70,4.0,0.8,2.8,0.011,5.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,snack,low-carb,non-veg
Potato Wedges Kentucky Fried Chicken,379,19.8,4.0,11.9,2.4,45.0,0.0,5.4,4.2,0.0,1.0,59.2,0.0,0.2,0.0,0.0,0.026,2.9,0.8,0.3,0.0,0.0,1.1,0.068,34.8,0.2,1.4,40.2,0.4,142.0,699.5,0.0,0.6,110.6,snack,low-carb,non-veg
Scrambled Eggs Mcdonalds,98,7.5,2.1,2.7,1.1,0.9,0.1,7.7,0.0,217.8,0.04,34.1,0.046,0.018,0.029,0.008,0.3,0.034,0.6,0.011,0.0,0.0,0.7,0.0,33.7,0.096,1.1,6.1,0.049,133.1,70.9,0.0,0.7,50.931,snack,low-carb,non-veg
Egg Mcmuffin Mcdonalds,287,12.2,4.5,3.4,2.2,27.3,2.7,17.2,1.4,207.9,0.8,66.3,0.1,0.0,0.3,0.038,0.0,0.5,3.9,1.1,0.2,1.5,0.0,0.7,0.0,241.9,0.1,2.9,25.2,0.3,252.0,218.0,0.0,58.5,breakfast,low-carb,non-veg
Nachos Taco Bell,362,21.9,4.7,12.6,2.6,36.0,0.0,5.1,3.8,4.0,0.5,33.9,0.0,0.1,0.036,0.0,0.1,0.9,0.3,0.2,0.0,0.0,1.0,0.07,88.1,0.1,1.1,51.5,0.3,280.2,180.2,0.048,1.1,156.0,snack,low-carb,veg
Biscuit Large Mcdonalds,310,14.4,8.3,3.4,2.0,39.4,2.7,5.5,1.8,0.0,0.9,27.6,0.095,0.4,0.1,0.046,0.3,3.7,0.4,0.088,0.0,0.0,1.1,0.0,68.4,0.091,2.5,9.9,0.2,397.8,108.0,0.0,0.4,132.022,snack,low-carb,veg
Crispy Chicken Strips Kentucky Fried Chicken,129,7.2,1.4,2.0,3.2,6.4,0.0,9.5,0.7,24.0,0.4,22.5,0.0,0.075,0.0,0.006,0.015,4.0,0.6,0.2,0.0,0.0,0.4,0.092,11.8,0.014,0.3,15.5,0.1,140.1,156.5,0.067,0.3,35.9,snack,low-carb,non-veg
Hotcakes Mcdonalds,113,2.9,0.6,0.6,1.5,19.0,4.4,3.0,0.7,6.4,0.2,23.9,0.0,0.1,0.088,0.0,0.1,1.1,0.4,0.005,0.0,0.0,0.3,0.0,41.7,0.054,0.9,9.4,0.1,129.0,85.8,0.0,0.2,68.2,snack,low-carb,veg
Chicken Crispy Breast Kentucky Fried Chicken,375,23.2,5.0,7.6,8.8,11.9,0.0,29.7,0.0,106.4,0.8,72.0,0.023,0.067,0.0,0.083,0.1,11.4,1.9,0.4,0.0,0.0,0.0,0.0,37.8,0.6,0.8,33.6,0.2,301.0,361.2,0.09,1.1,103.428,snack,keto,non-veg
Hotcakes Sausage Mcdonalds,776,34.9,7.3,9.0,6.5,102.4,45.7,15.5,2.1,50.2,0.9,107.4,0.0,0.6,0.1,0.004,0.5,5.2,1.4,0.2,0.0,0.0,0.0,0.0,134.6,0.2,3.2,37.0,0.4,451.4,390.7,0.0,1.3,292.7,lunch,high-protein,veg
Chicken Mcnuggets Mcdonalds,48,3.2,0.5,1.3,0.9,2.4,0.025,2.5,0.0,7.0,0.009,7.5,0.071,0.0,0.023,0.0,0.005,0.049,1.2,0.1,0.072,0.2,0.0,0.0,0.0,1.8,0.017,0.1,3.8,0.073,43.5,40.3,0.0,8.181,snack,low-carb,non-veg
Chips Chipotle,151,7.1,0.9,19.3,1.1,2.1,2.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,snack,low-carb,veg
Biscuit Mcdonalds,261,12.2,7.0,2.8,1.7,33.3,2.2,4.7,1.5,0.0,0.7,23.3,0.07,0.4,0.1,0.022,0.3,3.1,0.3,0.049,0.0,0.0,0.9,0.0,57.8,0.049,2.1,8.4,0.2,335.9,91.2,0.0,0.3,111.687,snack,low-carb,veg
Rice Bowl With Chicken,36,0.4,0.01,0.1,0.1,6.4,1.2,1.6,0.2,4.5,0.064,19.6,0.026,0.068,0.094,0.014,0.07,0.6,0.1,0.07,0.8,0.0,0.08,0.043,3.7,0.057,0.008,4.0,0.075,26.6,34.8,0.035,0.1,13.178,snack,low-carb,non-veg
Spaghetti With Meatballs,200,8.2,2.9,3.3,1.1,22.9,5.8,8.7,5.4,14.0,0.6,157.6,0.2,0.072,0.2,0.08,0.083,0.1,4.0,0.6,0.1,3.8,0.049,1.0,0.036,58.0,0.1,2.1,26.0,0.3,114.0,434.0,0.057,45.656,breakfast,low-carb,non-veg
Meat Ravioli Canned,259,8.9,3.7,4.2,0.6,36.0,6.3,8.9,4.2,13.1,0.9,205.1,0.088,0.1,0.039,0.063,0.2,3.4,0.0,0.2,0.0,0.0,1.4,0.09,34.1,0.1,2.8,34.1,0.4,112.7,442.8,0.019,1.2,94.963,breakfast,low-carb,non-veg
Cheese Ravioli Canned,186,3.5,1.7,1.0,0.4,33.0,9.0,6.0,3.1,7.3,0.7,195.8,0.0,0.2,0.011,0.0,0.2,2.6,0.7,0.2,0.0,0.0,2.1,0.067,79.9,0.3,1.8,36.3,0.4,121.0,561.4,0.043,0.9,127.3,breakfast,low-carb,veg
Premium Crispy Chicken Ranch Blt Sandwich Mcdonalds,586,22.9,4.7,9.1,7.8,59.8,13.3,35.3,3.4,72.0,1.2,116.7,0.0,0.5,0.0,0.0,0.4,12.6,2.3,0.0,10.3,0.0,0.0,0.0,84.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,219.1,lunch,high-protein,non-veg
Steak Sandwich,459,14.1,3.8,5.3,3.3,52.0,0.0,30.3,0.0,73.4,0.8,104.2,0.0,0.4,0.004,0.038,0.4,7.3,0.9,0.4,5.5,0.0,0.0,0.0,91.8,0.2,5.2,49.0,0.4,297.8,524.3,0.008,4.5,198.9,lunch,high-protein,veg
Cheeseburger Burger King,380,19.7,9.1,7.6,2.0,31.5,6.0,19.4,3.7,59.9,0.8,59.3,0.0,0.4,0.0,0.0,0.3,4.5,0.3,0.1,0.3,0.0,0.1,0.093,123.7,0.1,3.3,31.9,0.4,190.2,236.7,0.028,3.2,201.6,lunch,low-carb,veg
Cheeseburger Mcdonalds,313,14.0,5.3,4.3,0.4,33.1,7.4,15.4,1.3,41.7,0.7,53.6,0.0,0.3,0.095,0.02,0.3,4.8,0.0,0.0,0.7,0.0,0.0,0.0,198.7,0.1,2.8,23.8,0.3,166.6,238.0,0.0,2.3,266.0,lunch,low-carb,veg
Double Cheeseburger,643,36.9,15.9,13.7,3.0,41.0,9.5,37.0,2.1,114.0,0.9,107.5,1.6,0.1,0.5,0.1,0.062,0.5,7.9,0.6,0.5,6.6,0.033,0.8,0.054,342.0,0.2,5.4,47.9,0.3,376.2,515.3,0.017,119.347,lunch,low-carb,veg
Double Hamburger,942,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172.0,1.1,206.8,1.5,0.0,0.7,0.2,0.036,0.7,12.1,0.7,0.4,0.7,0.059,2.5,0.094,130.9,0.4,10.5,67.3,0.7,415.1,718.1,0.026,169.626,lunch,high-protein,non-veg
Premium Grilled Chicken Classic Sandwich Mcdonalds,366,8.6,1.7,2.3,4.1,44.6,10.0,28.3,2.8,68.0,0.8,114.6,0.051,0.4,0.0,0.065,0.4,13.0,1.9,0.6,6.4,0.0,1.1,0.0,74.0,0.1,3.0,56.0,0.7,390.0,456.0,0.0,1.4,167.718,lunch,low-carb,non-veg
Big N Tasty With Cheese Mcdonalds,573,36.0,10.8,10.7,7.1,39.7,9.5,27.2,3.2,91.4,1.0,140.1,0.0,0.3,0.1,0.07,0.7,7.8,0.0,0.0,4.4,0.0,0.0,0.0,224.8,0.2,4.4,44.5,0.4,281.6,491.5,0.0,5.1,339.7,lunch,low-carb,veg
Premium Grilled Chicken Club Sandwich Mcdonalds,493,18.0,6.4,5.6,4.8,44.3,6.4,38.3,2.7,102.6,1.0,117.1,0.0,0.4,0.0,0.0,0.4,12.4,1.8,0.0,9.8,0.0,0.0,0.0,211.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,328.1,lunch,low-carb,non-veg
Quarter Pounder Mcdonalds,417,19.8,6.9,7.2,0.5,37.9,8.8,24.1,2.7,66.7,0.7,86.1,0.0,0.3,0.052,0.029,0.6,7.6,0.0,0.0,1.5,0.0,0.0,0.0,143.6,0.2,4.1,37.6,0.3,212.0,388.2,0.0,4.6,233.7,lunch,low-carb,veg
Premium Crispy Chicken Classic Sandwich Mcdonalds,524,20.0,3.2,7.3,8.5,58.6,12.4,27.8,3.2,59.8,1.0,119.6,0.0,0.5,0.1,0.0,0.4,12.7,2.4,0.0,5.8,0.0,0.0,0.0,78.2,0.2,3.3,62.1,1.0,370.3,522.1,0.0,1.5,196.9,lunch,high-protein,non-veg
Veggie Burger,124,4.4,1.0,1.2,1.4,10.0,0.7,11.0,3.4,3.5,0.4,42.8,0.0,1.9,0.045,0.02,0.2,2.6,0.2,0.2,3.2,0.0,0.2,0.069,95.2,0.1,1.7,39.2,0.7,144.2,233.1,0.017,0.9,128.9,snack,low-carb,non-veg
Quarter Pounder With Cheese Mcdonalds,513,28.3,11.2,9.2,0.9,39.7,9.8,29.0,2.8,93.5,1.2,97.3,0.0,0.3,0.1,0.068,0.7,7.7,0.0,0.0,1.6,0.0,0.0,0.0,286.6,0.2,4.2,43.8,0.3,320.4,435.8,0.0,5.2,392.2,lunch,low-carb,veg
Cheeseburger,292,13.2,6.0,5.1,1.4,28.7,5.9,15.0,1.6,41.4,0.6,55.3,0.5,0.087,0.4,0.083,0.091,0.2,3.5,0.3,1.1,0.7,0.042,0.3,0.04,105.8,0.1,3.2,25.3,0.3,154.1,204.7,0.021,60.289,breakfast,low-carb,veg
Premium Grilled Chicken Ranch Blt Sandwich Mcdonalds,412,10.9,3.0,3.8,3.4,44.3,10.5,33.7,2.8,76.8,1.0,108.3,0.0,0.4,0.0,0.0,0.4,12.5,1.8,0.0,9.9,0.0,0.0,0.0,76.8,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,181.4,lunch,low-carb,non-veg
Big Mac Mcdonalds,563,32.8,8.3,7.6,0.7,44.0,8.7,25.9,3.5,78.8,1.0,112.3,0.0,0.4,0.1,0.048,0.5,7.4,0.0,0.0,0.9,0.0,0.0,0.0,254.0,0.2,4.4,43.8,0.5,267.2,396.4,0.0,4.2,365.5,lunch,low-carb,veg
Sandwich With Cold Cuts,833,39.3,13.9,14.5,7.5,79.9,12.4,41.1,4.7,105.6,2.2,221.0,0.5,0.004,1.3,0.4,0.051,1.0,16.9,1.5,0.8,29.3,0.012,1.6,0.023,668.6,0.5,7.1,78.2,0.9,437.9,1102.6,0.065,166.871,lunch,high-protein,veg
Filet O Fish Mcdonalds,378,19.6,3.8,5.4,8.0,35.4,4.9,15.1,1.9,42.9,0.6,61.3,0.0,0.3,0.073,0.054,0.2,3.0,0.0,0.0,0.4,0.0,1.6,0.058,160.8,0.025,2.1,36.2,0.4,183.6,294.8,0.017,0.8,235.3,lunch,low-carb,non-veg
Hand Breaded Chicken Tenders Carls Jr,57,2.9,0.6,2.9,5.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,snack,low-carb,non-veg
Grilled Chicken Sandwich Wendys,370,8.0,42.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,snack,low-carb,non-veg
Sandwich With Roast Beef,410,13.0,7.1,1.8,2.6,44.3,0.0,28.6,0.0,73.4,0.8,127.4,0.03,0.4,0.053,0.015,0.4,6.0,0.8,0.3,5.6,0.0,0.0,0.0,41.0,0.4,2.8,67.0,0.4,192.2,330.5,0.073,4.4,135.393,lunch,low-carb,non-veg
Hamburger Burger King,258,10.4,3.8,4.2,1.2,26.5,5.5,14.7,2.0,34.7,0.5,45.5,0.5,0.0,0.3,0.026,0.0,0.2,3.9,0.2,0.056,0.2,0.0,0.068,0.049,75.2,0.1,2.8,24.8,0.3,124.7,214.8,0.055,54.28,breakfast,low-carb,non-veg
Big N Tasty Mcdonalds,524,31.7,8.6,9.7,6.9,38.5,8.8,24.7,3.2,76.6,0.7,133.9,0.0,0.3,0.1,0.017,0.6,7.7,0.0,0.0,4.4,0.0,0.0,0.0,150.8,0.2,4.4,41.8,0.4,227.4,464.0,0.0,4.8,257.7,lunch,low-carb,veg
Roast Beef Sandwich,364,15.3,5.1,5.9,2.6,33.1,5.7,22.6,1.9,44.7,1.0,74.4,0.6,0.035,0.3,0.015,0.012,0.4,6.5,0.9,0.3,0.0,0.0,0.6,0.039,82.0,0.1,3.9,34.3,0.1,298.0,333.8,0.055,73.951,lunch,low-carb,non-veg
Roast Beef Sandwich With Cheese,473,18.0,9.0,3.7,3.5,45.4,0.0,32.2,0.0,77.4,1.6,76.6,0.082,0.4,0.065,0.063,0.5,5.9,0.7,0.3,0.0,0.0,0.0,0.0,183.0,0.2,5.1,40.5,0.3,401.3,345.0,0.021,5.4,283.72,lunch,low-carb,non-veg
Hamburger,255,9.9,3.5,3.7,1.3,28.7,5.8,12.9,1.7,28.1,0.5,43.5,0.4,0.088,0.3,0.082,0.092,0.2,3.9,0.3,0.1,0.3,0.041,0.053,0.068,112.5,0.027,2.8,21.3,0.2,106.7,191.1,0.017,53.859,breakfast,low-carb,non-veg
Premium Fish Sandwich Burger King,572,27.4,4.3,5.7,13.8,58.7,7.8,22.6,2.0,68.2,1.3,106.6,0.0,0.4,0.0,0.0,0.4,4.6,0.4,0.054,0.4,0.0,0.0,0.014,81.4,0.2,3.3,55.0,0.6,255.2,453.2,0.08,1.1,195.8,lunch,high-protein,non-veg
Whopper Burger King,790,48.4,18.3,16.0,12.0,52.8,13.0,35.4,3.2,113.8,1.4,173.5,0.0,0.7,0.2,0.0,0.6,8.1,0.6,0.2,0.6,0.0,0.3,0.008,259.1,0.2,6.3,56.9,0.6,357.1,534.0,0.032,5.1,405.8,lunch,high-protein,veg
Sandwich With Tuna Salad,584,28.0,5.3,13.4,7.3,55.4,0.0,29.7,0.0,48.6,1.3,139.0,0.004,0.5,0.1,0.076,0.3,11.3,1.9,0.2,3.6,0.0,0.0,0.0,74.2,0.4,2.6,79.4,0.5,220.2,335.4,0.019,1.9,193.569,lunch,high-protein,non-veg
Original Chicken Sandwich Burger King,569,29.2,5.4,7.4,14.4,52.2,6.0,24.2,4.8,61.7,1.3,89.0,0.0,0.6,0.075,0.0,0.3,9.4,0.9,0.3,0.4,0.0,0.0,0.019,91.5,0.2,3.6,45.8,0.8,254.7,390.0,0.037,1.2,205.9,lunch,high-protein,non-veg
Double Whopper Burger King,942,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172.0,1.1,206.8,0.0,0.7,0.2,0.0,0.7,12.1,0.7,0.4,0.7,0.0,0.0,0.023,130.9,0.4,10.5,67.3,0.7,415.1,718.1,0.082,11.2,309.4,lunch,high-protein,veg
Premium Crispy Chicken Club Sandwich Mcdonalds,635,29.9,8.5,10.7,9.0,57.4,12.7,39.1,3.0,96.5,1.2,122.0,0.0,0.4,0.0,0.0,0.4,12.1,2.3,0.0,9.7,0.0,0.0,0.0,233.7,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,376.2,lunch,high-protein,non-veg
Hamburger Mcdonalds,251,9.6,3.3,3.6,1.3,28.8,5.7,12.3,1.2,25.7,0.5,42.3,0.4,0.0,0.2,0.03,0.008,0.2,4.3,0.0,0.0,0.6,0.0,0.0,0.0,120.7,0.049,2.7,20.0,0.3,101.7,182.4,0.066,52.357,breakfast,low-carb,non-veg
Pepperoni Pizza Dominos,308,12.6,5.4,3.8,2.4,36.0,4.2,12.7,2.4,28.3,0.7,49.0,0.0,0.4,0.0,0.014,0.2,3.9,0.0,0.024,0.9,0.0,1.1,0.034,159.3,0.1,2.6,27.1,0.4,215.8,206.8,0.038,1.5,226.5,snack,low-carb,veg
Sausage Pizza,325,14.3,5.8,4.7,2.7,35.5,3.9,13.3,2.7,26.7,0.7,49.9,0.3,0.019,0.4,0.1,0.055,0.2,4.4,0.0,0.099,2.0,0.0,1.1,0.078,167.0,0.1,2.8,27.8,0.4,223.9,228.5,0.003,66.337,snack,low-carb,veg
Pepperoni Pizza,313,13.2,5.7,4.3,2.3,35.5,3.6,13.0,2.6,27.8,0.8,46.4,0.3,0.035,0.5,0.1,0.001,0.2,4.6,0.0,0.093,1.0,0.0,1.0,0.05,169.8,0.1,2.8,26.6,0.4,219.8,216.5,0.022,64.836,snack,low-carb,veg
Pepperoni Pizza Pizza Hut,269,10.9,5.0,3.9,2.0,30.3,3.5,12.3,1.6,25.0,0.8,39.7,0.087,0.3,0.0,0.073,0.3,3.9,0.4,0.1,0.0,0.0,0.7,0.037,148.8,0.038,2.1,22.1,0.4,209.3,198.7,0.021,1.6,206.086,breakfast,low-carb,veg
Cheese Pizza Pizza Hut,260,10.5,4.8,2.8,1.8,30.0,3.2,11.5,1.7,23.0,0.7,41.6,0.075,0.3,0.0,0.033,0.2,3.2,0.3,0.1,0.0,0.0,0.7,0.039,200.6,0.003,1.9,21.1,0.3,239.0,166.1,0.022,1.6,256.272,breakfast,low-carb,veg
Cheese Pizza,285,10.4,4.8,2.8,1.8,35.7,3.8,12.2,2.5,18.2,0.6,46.2,0.3,0.001,0.4,0.014,0.023,0.2,4.1,0.0,0.066,1.5,0.0,0.9,0.082,201.2,0.1,2.7,25.7,0.4,231.1,184.0,0.031,61.304,breakfast,low-carb,veg
